Κωδικός Μαθήματος,Σύνδεσμος Μαθήματος,Όνομα Μαθήματος,Επώνυμο Καθηγητή,Δευτέρα,Τρίτη,Τετάρτη,Πέμπτη,Παρασκευή
ΔΙΑΒΑΣΤΕ ΠΡΟΣΕΚΤΙΚΑ ΤΑ ΠΑΡΑΚΑΤΩ,,,,,,,,
Στους Κωδικούυς Μαθήματος γράφουμε ΗΥ στα ελληνικά με παύλα χωρίς κενό(-) και τον αριθμό του μαθήματος,,,,,,,,
Στο Όνομα Μαθήματος γράψτε το όνομα του μαθήματος όπως θέλετε,,,,,,,,
Στο Επώνυμο Καθηγητή γράψτε τα στοιχεία του όπως επιθυμείτε π.χ. όπως στο πρόγραμμα,,,,,,,,
ΗΥ-435,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=82,Εργαστήριο Τεχνολογίας και Προγραμματισμού Δικτύων Ι,ΤΡΑΓΑΝΙΤΗΣ /ΠΑΠΑΔΑΚΗΣ ΣΤ,,12-2 Η.204,,12-2 Η.204,
ΗΥ-446,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=237,Συστήματα Εκτέλεσης Δυναμικών Γλωσσών Προγραμματισμού,ΖΑΚΚΑΚ,,10-12 Α.113,,10-12 Α.113,10-12 Α.125 (ΦΡΟΝΤ)
ΗΥ-457,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=98,Εισαγωγή στα Συστήματα Ασφάλειας Πληροφοριών,ΜΑΡΚΑΤΟΣ,,2-4 Α.113,,2-4 Α.113,2-4 Η.204 (ΦΡΟΝΤ)
ΗΥ-460,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=101,Συστήματα Διαχείρισης Βάσεων Δεδομένων,ΚΟΝΔΥΛΑΚΗΣ,10-12 Α.121,,10-12 Α.121,,4-6 Η.204 (ΦΡΟΝΤ)
ΗΥ-463,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=102,Συστήματα Ανάκτησης Πληροφοριών,ΤΖΙΤΖΙΚΑΣ,,10-12 Α.125 (ΦΡΟΝΤ),,10-12 Α.125 (ΦΡΟΝΤ),9-12:15 Α.121
ΗΥ-471,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=106,Ανάλυση Εικόνων,ΟΙΚΟΝΟΜΙΔΗΣ,10-12 Η.204,,10-12 Η.204,,10-12 Η.206 (ΦΡΟΝΤ)
ΗΥ-473,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=108,Αναγνώριση Προτύπων,ΤΡΑΧΑΝΙΑΣ,2-4 Α.113,,2-4 Α.113,,12-2 Α.113 (ΦΡΟΝΤ)
ΗΥ-475,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=109,Αυτόνομη Ρομποτική Πλοήγηση,ΤΡΑΧΑΝΙΑΣ,6-8 Η.204,,6-8 Η.204,,
ΗΥ-485,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=275,Επιστήμη Δεδομένων και Εφαρμογές,ΤΣΑΓΚΑΤΑΚΗΣ,12-2 Α.113,,12-2 Α.113,,
ΗΥ-486,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=118,Αρχές Κατανεμημένου Υπολογισμού,ΦΑΤΟΥΡΟΥ,4-6 Α.113,4-6 Α.113,,4-6 Α.125 (ΦΡΟΝΤ),
ΗΥ-500,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=254,Εισαγωγή στην Ερευνα,ΜΕΛΗ ΔΕΠ ΤΟΥ ΤΜΗΜΑΤΟΣ,,,,4-6 ΑΜΦ Α,
