Κατηγορία,Κωδικός Μαθήματος,Όνομα Μαθήματος,Σύνδεσμος Μαθήματος,ECTS,Μήνυμα Προαπαιτούμενων,Προαπαιτούμενα,Σύνδεσμοι Προαπαιτούμενων,,,,,,Προτεινόμενα,Σύνδεση Προτεινόμενων,,,,
Α4,ΗΥ-439,Κινητά Υπολογιστικά Συστήματα,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=84,6,HY-335,HY-335,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=21,-,-,-,-,-,-,-,-,-,-,-
Α4,ΗΥ-459,Μέτρηση και Εποπτεία του Διαδικτύου,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=99,6,ΗΥ-345,ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,-,-,-,-,-,-,-,-,-,-,-
Β1,ΗΥ-468,Θεωρία Παιγνίων και Αποφάσεων σε Συστήματα Υπηρεσιών,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=230,6,"ΗΥ-217, ΗΥ-317",ΗΥ-217,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=15,ΗΥ-317,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=111,-,-,-,-,-,-,-,-,-
Β1,ΗΥ-484,Δυναμική Πολύπλοκων Δικτύων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=113,6,"ΗΥ-118, ΗΥ-240",ΗΥ-118,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=7,ΗΥ-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,-,-,-,-,-,-,-,-,-
Β1,ΗΥ-486,Αρχές Κατανεμημένου Υπολογισμού,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=118,6,ΗΥ-240,ΗΥ-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,-,-,-,-,"ΗΥ-225, ΗΥ-345, ΗΥ-380",ΗΥ-225,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=16,ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,ΗΥ-380,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=25
Β2,ΗΥ-351,Ανάλυση και Σχεδίαση Πληροφοριακών Συστημάτων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=91,6,HY-252,HY-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,-,-,-,-,"HY-352, HY-360",HY-352,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=92,HY-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=24,-,-
Β2,ΗΥ-452,Εισαγωγή στην Επιστήμη και την Τεχνολογία των Υπηρεσιών,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=95,6,"ΗΥ-345, ΗΥ-360",ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,ΗΥ-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=24,-,-,HY-359,HY-359,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=94,-,-,-,-
Β2,ΗΥ-460,Συστήματα Διαχείρισης Βάσεων Δεδομένων,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=101,6,HY-360,HY-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=24,-,-,-,-,-,-,-,-,-,-,-
Β2,ΗΥ-463,Συστήματα Ανάκτησης Πληροφοριών,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=102,6,HY-240,HY-240,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=17,-,-,-,-,-,-,-,-,-,-,-
Β3,ΗΥ-352,Τεχνολογία Λογισμικού,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=92,6,HY-252,HY-252,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=18,-,-,-,-,-,-,-,-,-,-,-
